iter	Passed	Remaining
0	48	48329
1	49	24583
2	50	16650
3	50	12652
4	51	10305
5	52	8732
6	53	7577
7	54	6716
8	54	6045
9	55	5511
10	56	5086
11	57	4738
12	58	4424
13	59	4164
14	59	3935
15	60	3731
16	61	3554
17	62	3395
18	63	3253
19	63	3123
20	64	3004
21	65	2904
22	66	2807
23	66	2717
24	67	2637
25	68	2560
26	69	2488
27	69	2419
28	70	2353
29	70	2292
30	71	2237
31	72	2190
32	73	2143
33	73	2098
34	74	2054
35	75	2011
36	75	1969
37	76	1931
38	76	1892
39	77	1855
40	77	1819
41	78	1788
42	78	1756
43	79	1725
44	79	1695
45	80	1668
46	80	1640
47	81	1614
48	81	1589
49	82	1563
50	82	1539
51	83	1515
52	83	1492
53	83	1470
54	84	1448
55	84	1427
56	85	1408
57	85	1389
58	85	1370
59	86	1353
60	86	1336
61	87	1319
62	87	1303
63	88	1287
64	88	1271
65	88	1256
66	89	1240
67	89	1222
68	89	1207
69	89	1192
70	90	1178
71	90	1164
72	90	1150
73	90	1137
74	91	1124
75	91	1111
76	91	1099
77	92	1087
78	92	1075
79	92	1064
80	92	1053
81	93	1042
82	93	1031
83	93	1020
84	93	1009
85	94	1000
86	94	989
87	94	979
88	94	970
89	95	961
90	95	952
91	95	944
92	95	935
93	96	927
94	96	919
95	96	911
96	97	904
97	97	896
98	97	889
99	98	882
100	98	875
101	98	866
102	98	859
103	99	853
104	99	846
105	99	840
106	99	833
107	100	827
108	100	821
109	100	814
110	101	809
111	101	803
112	101	797
113	101	792
114	102	786
115	102	780
116	102	775
117	103	769
118	103	764
119	103	759
120	103	753
121	104	748
122	104	742
123	104	738
124	104	733
125	105	728
126	105	724
127	105	719
128	105	714
129	106	710
130	106	706
131	106	701
132	107	697
133	107	693
134	107	689
135	107	685
136	108	681
137	108	676
138	108	673
139	108	669
140	109	665
141	109	661
142	109	657
143	110	654
144	110	650
145	110	646
146	110	643
147	111	640
148	111	636
149	111	633
150	112	632
151	113	631
152	113	628
153	113	625
154	114	622
155	114	619
156	115	618
157	115	615
158	115	612
159	116	609
160	116	606
161	116	603
162	117	600
163	117	598
164	117	595
165	117	592
166	118	589
167	118	586
168	118	584
169	119	581
170	119	578
171	119	576
172	120	573
173	120	571
174	120	568
175	120	566
176	121	563
177	121	560
178	121	558
179	122	556
180	122	552
181	122	550
182	122	548
183	123	545
184	123	543
185	123	541
186	123	538
187	124	536
188	124	534
189	124	532
190	125	530
191	125	527
192	125	525
193	126	523
194	126	521
195	126	519
196	126	517
197	127	515
198	127	513
199	127	511
200	128	509
201	128	507
202	128	505
203	129	503
204	129	501
205	129	499
206	129	497
207	130	496
208	130	494
209	130	492
210	131	490
211	131	488
212	131	486
213	132	485
214	132	483
215	132	481
216	132	479
217	133	477
218	133	476
219	133	474
220	134	472
221	134	471
222	134	469
223	135	468
224	135	466
225	135	464
226	135	463
227	136	461
228	136	459
229	136	458
230	137	456
231	137	454
232	137	453
233	137	451
234	138	450
235	138	448
236	138	446
237	139	446
238	140	446
239	140	446
240	141	445
241	141	444
242	142	444
243	143	443
244	143	442
245	145	444
246	145	443
247	145	441
248	146	440
249	146	438
250	146	437
251	146	436
252	147	434
253	147	433
254	147	431
255	147	430
256	148	428
257	148	427
258	148	426
259	149	424
260	149	423
261	149	421
262	150	420
263	150	419
264	150	418
265	151	416
266	151	415
267	151	414
268	151	412
269	152	411
270	152	410
271	152	408
272	152	407
273	153	406
274	153	404
275	153	403
276	154	402
277	154	400
278	154	399
279	154	398
280	155	397
281	155	395
282	155	394
283	156	393
284	156	392
285	156	390
286	156	389
287	157	388
288	157	387
289	157	386
290	157	384
291	158	383
292	158	382
293	158	381
294	159	380
295	159	379
296	159	377
297	160	376
298	160	375
299	160	374
300	160	373
301	161	372
302	161	371
303	161	370
304	162	369
305	162	368
306	162	367
307	162	365
308	163	364
309	163	363
310	163	362
311	164	361
312	164	360
313	164	359
314	164	358
315	165	357
316	165	356
317	165	355
318	166	354
319	166	353
320	166	352
321	167	351
322	167	350
323	167	349
324	167	348
325	168	347
326	168	346
327	168	345
328	169	344
329	169	343
330	169	342
331	169	341
332	170	340
333	170	339
334	170	338
335	171	337
336	171	337
337	171	336
338	171	335
339	172	334
340	172	333
341	172	332
342	173	331
343	173	330
344	173	329
345	174	328
346	174	327
347	174	327
348	174	326
349	175	325
350	175	324
351	175	323
352	176	322
353	176	321
354	176	320
355	176	320
356	177	319
357	177	318
358	177	317
359	178	316
360	178	315
361	178	314
362	178	314
363	179	313
364	179	312
365	179	311
366	180	310
367	180	309
368	180	309
369	180	308
370	181	307
371	181	306
372	181	305
373	182	305
374	182	304
375	182	303
376	183	302
377	183	301
378	183	300
379	183	300
380	184	299
381	184	298
382	184	297
383	185	296
384	185	296
385	185	295
386	185	294
387	186	293
388	186	293
389	186	292
390	187	291
391	187	290
