iter	Passed	Remaining
0	48	48379
1	48	24367
2	49	16363
3	49	12347
4	49	9941
5	50	8333
6	50	7189
7	51	6327
8	51	5659
9	51	5123
10	52	4686
11	52	4321
12	52	4014
13	53	3749
14	53	3520
15	53	3316
16	54	3135
17	54	2973
18	54	2828
19	55	2697
20	55	2580
21	55	2473
22	55	2375
23	56	2285
24	56	2203
25	56	2129
26	57	2060
27	57	1995
28	57	1934
29	58	1879
30	58	1826
31	58	1777
32	59	1731
33	59	1687
34	59	1646
35	60	1613
36	60	1580
37	61	1551
38	61	1523
39	62	1493
40	62	1465
41	62	1436
42	63	1409
43	63	1382
44	63	1356
45	64	1331
46	64	1308
47	64	1285
48	65	1263
49	65	1242
50	65	1222
51	66	1203
52	66	1184
53	66	1166
54	66	1148
55	67	1130
56	67	1114
57	67	1098
58	67	1083
59	68	1070
60	68	1056
61	68	1043
62	69	1031
63	69	1018
64	69	1005
65	70	994
66	70	982
67	70	970
68	71	959
69	71	949
70	71	939
71	72	929
72	72	920
73	72	909
74	72	900
75	73	891
76	73	881
77	73	873
78	74	864
79	74	856
80	74	848
81	75	840
82	75	830
83	75	823
84	75	816
85	76	809
86	77	813
87	77	806
88	78	799
89	78	792
90	78	785
91	78	779
92	79	772
93	79	766
94	79	760
95	80	754
96	80	748
97	80	742
98	81	737
99	81	731
100	81	726
101	81	720
102	82	715
103	82	710
104	82	705
105	83	700
106	83	695
107	83	691
108	83	686
109	84	681
110	84	677
111	84	672
112	85	668
113	85	664
114	85	660
115	86	655
116	86	651
117	86	648
118	87	644
119	87	641
120	87	637
121	87	633
122	88	629
123	88	626
124	88	622
125	89	618
126	89	614
127	89	611
128	90	607
129	90	604
130	90	601
131	90	597
132	91	595
133	91	593
134	92	591
135	92	588
136	92	585
137	93	582
138	93	579
139	93	576
140	94	573
141	94	569
142	94	566
143	94	563
144	95	560
145	95	558
146	95	555
147	95	552
148	96	549
149	96	547
150	96	544
151	97	541
152	97	539
153	97	536
154	97	533
155	98	531
156	98	528
157	98	526
158	99	523
159	99	521
160	99	518
161	99	516
162	100	513
163	100	511
164	100	509
165	100	507
166	101	504
167	101	502
168	101	500
169	102	498
170	102	496
171	102	494
172	103	493
173	103	491
174	103	489
175	104	487
176	104	485
177	104	483
178	104	481
179	105	480
180	105	479
181	106	478
182	106	476
183	107	475
184	107	473
185	107	471
186	108	470
187	108	468
188	108	466
189	109	464
190	109	463
191	109	461
192	109	459
193	110	458
194	110	456
195	110	454
196	111	453
197	111	451
198	111	450
199	112	448
200	112	446
201	112	445
202	112	443
203	113	441
204	113	440
205	113	438
206	114	437
207	114	435
208	114	433
209	114	432
210	115	430
211	115	429
212	115	428
213	116	426
214	116	425
215	116	423
216	117	422
217	117	420
218	117	419
219	117	418
220	118	417
221	118	415
222	118	414
223	119	413
224	119	411
225	119	410
226	120	409
227	120	407
228	120	406
229	121	405
230	121	404
231	121	402
232	122	401
233	122	400
234	122	399
235	123	398
236	123	397
237	123	395
238	124	394
239	124	393
240	124	392
241	124	391
242	125	390
243	125	388
244	125	387
245	126	386
246	126	385
247	126	384
248	126	382
249	127	381
250	127	380
251	127	379
252	127	377
253	128	376
254	128	375
255	128	374
256	129	373
257	129	372
258	129	371
259	130	370
260	130	369
261	130	368
262	131	367
263	131	366
264	131	365
265	132	364
266	132	363
267	132	362
268	133	361
269	133	360
270	133	359
271	133	358
272	134	358
273	134	357
274	135	356
275	135	355
276	135	354
277	136	353
278	136	352
279	136	351
280	137	350
281	137	349
282	137	349
283	138	348
284	138	347
285	139	347
286	139	346
287	139	345
288	140	345
289	140	344
290	140	343
291	141	342
292	141	341
293	141	340
294	142	339
295	142	338
296	142	337
